"chart_position","chart_date","song","performer","song_id"
58,2010-06-26,"Any Way You Want It/Lovin' Touchin' Squeezin'","Glee Cast","Any Way You Want It/Lovin' Touchin' Squeezin'Glee Cast"
66,2010-06-26,"Bionic","Christina Aguilera","BionicChristina Aguilera"
84,2010-06-26,"Bohemian Rhapsody","Glee Cast Featuring Jonathan Groff","Bohemian RhapsodyGlee Cast Featuring Jonathan Groff"
37,2010-06-26,"Faithfully","Glee Cast","FaithfullyGlee Cast"
44,2010-06-26,"Over The Rainbow","Glee Cast","Over The RainbowGlee Cast"
75,2010-06-26,"To Sir With Love","Glee Cast","To Sir With LoveGlee Cast"
57,2010-07-03,"9 AM In Dallas","Drake","9 AM In DallasDrake"
81,2010-07-03,"Another Way To Die","Disturbed","Another Way To DieDisturbed"
95,2010-07-03,"Finding My Way Back","Jaheim","Finding My Way BackJaheim"
71,2010-07-03,"Fireworks","Drake Featuring Alicia Keys","FireworksDrake Featuring Alicia Keys"
92,2010-07-10,"25 To Life","Eminem","25 To LifeEminem"
71,2010-07-10,"Cold Wind Blows","Eminem","Cold Wind BlowsEminem"
75,2010-07-10,"Stay","Miley Cyrus","StayMiley Cyrus"
88,2010-07-10,"Talkin' 2 Myself","Eminem Featuring Kobe","Talkin' 2 MyselfEminem Featuring Kobe"
62,2010-07-10,"Won't Back Down","Eminem Featuring P!nk","Won't Back DownEminem Featuring P!nk"
100,2010-07-17,"I Can Do Anything","3OH!3","I Can Do Anything3OH!3"
84,2010-07-17,"Outta Your Mind","Lil Jon Featuring LMFAO","Outta Your MindLil Jon Featuring LMFAO"
99,2010-07-24,"Up On The Ridge","Dierks Bentley","Up On The RidgeDierks Bentley"
79,2010-08-14,"G.R.I.N.D. (Get Ready It's A New Day)","Asher Roth","G.R.I.N.D. (Get Ready It's A New Day)Asher Roth"
97,2010-08-14,"The Crow & The Butterfly","Shinedown","The Crow & The ButterflyShinedown"
53,2010-08-21,"Not Like The Movies","Katy Perry","Not Like The MoviesKaty Perry"
58,2010-08-28,"Circle The Drain","Katy Perry","Circle The DrainKaty Perry"
96,2010-09-04,"Black Rain","Soundgarden","Black RainSoundgarden"
86,2010-09-04,"Give A Little More","Maroon 5","Give A Little MoreMaroon 5"
84,2010-09-25,"Dumb Love","Sean Kingston","Dumb LoveSean Kingston"
92,2010-09-25,"Introducing Me","Nick Jonas","Introducing MeNick Jonas"
28,2010-10-09,"Billionaire","Glee Cast","BillionaireGlee Cast"
38,2010-10-09,"Listen","Glee Cast","ListenGlee Cast"
84,2010-10-09,"Stutter","Maroon 5","StutterMaroon 5"
23,2010-10-09,"Telephone","Glee Cast","TelephoneGlee Cast"
51,2010-10-09,"What I Did For Love","Glee Cast","What I Did For LoveGlee Cast"
54,2010-10-16,"Baby One More Time","Glee Cast","Baby One More TimeGlee Cast"
75,2010-10-16,"Bill Gates","Lil Wayne","Bill GatesLil Wayne"
88,2010-10-16,"Hope She Cheats On You (With A Basketball Player)","Marsha Ambrosius","Hope She Cheats On You (With A Basketball Player)Marsha Ambrosius"
65,2010-10-16,"I Am Not A Human Being","Lil Wayne","I Am Not A Human BeingLil Wayne"
52,2010-10-16,"I'm A Slave 4 U","Glee Cast","I'm A Slave 4 UGlee Cast"
56,2010-10-16,"Me Against The Music","Glee Cast","Me Against The MusicGlee Cast"
77,2010-10-16,"Na Na Na (Na Na Na Na Na Na Na Na Na)","My Chemical Romance","Na Na Na (Na Na Na Na Na Na Na Na Na)My Chemical Romance"
53,2010-10-16,"Stronger","Glee Cast","StrongerGlee Cast"
26,2010-10-16,"The Only Exception","Glee Cast","The Only ExceptionGlee Cast"
16,2010-10-16,"Toxic","Glee Cast","ToxicGlee Cast"
42,2010-10-16,"What's Wrong With Them","Lil Wayne Featuring Nicki Minaj","What's Wrong With ThemLil Wayne Featuring Nicki Minaj"
73,2010-10-23,"Bridge Over Troubled Water","Glee Cast","Bridge Over Troubled WaterGlee Cast"
74,2010-10-23,"I Look To You","Glee Cast","I Look To YouGlee Cast"
36,2010-10-23,"I Want To Hold Your Hand","Glee Cast","I Want To Hold Your HandGlee Cast"
91,2010-10-23,"Like We Used To","A Rocket To The Moon","Like We Used ToA Rocket To The Moon"
60,2010-10-23,"Losing My Religion","Glee Cast","Losing My ReligionGlee Cast"
37,2010-10-23,"One Of Us","Glee Cast","One Of UsGlee Cast"
50,2010-10-23,"Only The Good Die Young","Glee Cast","Only The Good Die YoungGlee Cast"
65,2010-10-23,"Papa Can You Hear Me?","Glee Cast","Papa Can You Hear Me?Glee Cast"
50,2010-10-30,"Don't Go Breaking My Heart","Glee Cast","Don't Go Breaking My HeartGlee Cast"
48,2010-10-30,"Happy Days Are Here Again / Get Happy","Glee Cast","Happy Days Are Here Again / Get HappyGlee Cast"
94,2010-10-30,"Le Jazz Hot","Glee Cast","Le Jazz HotGlee Cast"
27,2010-10-30,"Lucky","Glee Cast","LuckyGlee Cast"
54,2010-10-30,"Move That Body","Nelly Featuring T-Pain & Akon","Move That BodyNelly Featuring T-Pain & Akon"
41,2010-10-30,"River Deep, Mountain High","Glee Cast","River Deep, Mountain HighGlee Cast"
87,2010-10-30,"Sing!","Glee Cast","Sing!Glee Cast"
66,2010-11-06,"Gonna Get This","Hannah Montana Featuring Iyaz","Gonna Get ThisHannah Montana Featuring Iyaz"
89,2010-11-06,"Rap Song","T-Pain Featuring Rick Ross","Rap SongT-Pain Featuring Rick Ross"
82,2010-11-06,"The End","Kings Of Leon","The EndKings Of Leon"
56,2010-11-13,"Better Than Revenge","Taylor Swift","Better Than RevengeTaylor Swift"
54,2010-11-13,"Dear John","Taylor Swift","Dear JohnTaylor Swift"
75,2010-11-13,"Enchanted","Taylor Swift","EnchantedTaylor Swift"
27,2010-11-13,"Innocent","Taylor Swift","InnocentTaylor Swift"
71,2010-11-13,"Last Kiss","Taylor Swift","Last KissTaylor Swift"
85,2010-11-13,"Long Live","Taylor Swift","Long LiveTaylor Swift"
77,2010-11-13,"Mr. Rager","Kid Cudi","Mr. RagerKid Cudi"
84,2010-11-13,"Never Grow Up","Taylor Swift","Never Grow UpTaylor Swift"
89,2010-11-13,"Time Warp","Glee Cast","Time WarpGlee Cast"
70,2010-11-20,"Get Back Up","T.I. Featuring Chris Brown","Get Back UpT.I. Featuring Chris Brown"
98,2010-11-20,"The Big Bang","ROCKMAFIA","The Big BangROCKMAFIA"
77,2010-11-27,"Cannibal","Ke$ha","CannibalKe$ha"
54,2010-11-27,"Marijuana","Kid Cudi","MarijuanaKid Cudi"
41,2010-11-27,"One Love (People Get Ready)","Glee Cast","One Love (People Get Ready)Glee Cast"
92,2010-11-27,"Scott Mescudi Vs. The World","Kid Cudi Featuring Cee-Lo","Scott Mescudi Vs. The WorldKid Cudi Featuring Cee-Lo"
31,2010-11-27,"Start Me Up / Livin' On A Prayer","Glee Cast","Start Me Up / Livin' On A PrayerGlee Cast"
38,2010-11-27,"Stop! In The Name Of Love / Free Your Mind","Glee Cast","Stop! In The Name Of Love / Free Your MindGlee Cast"
75,2010-12-04,"Liv Tonight","Nelly Featuring Keri Hilson","Liv TonightNelly Featuring Keri Hilson"
98,2010-12-04,"Turn Around (5 4 3 2 1)","Flo Rida","Turn Around (5 4 3 2 1)Flo Rida"
93,2010-12-11,"Crazy Beautiful Life","Ke$ha","Crazy Beautiful LifeKe$ha"
60,2010-12-11,"Dark Fantasy","Kanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver","Dark FantasyKanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver"
40,2010-12-11,"Just The Way You Are","Glee Cast","Just The Way You AreGlee Cast"
70,2010-12-11,"Show Me How You Burlesque","Christina Aguilera","Show Me How You BurlesqueChristina Aguilera"
38,2010-12-18,"(I've Had) The Time Of My Life","Glee Cast","(I've Had) The Time Of My LifeGlee Cast"
79,2010-12-18,"Boots","The Killers","BootsThe Killers"
22,2010-12-18,"Dog Days Are Over","Glee Cast","Dog Days Are OverGlee Cast"
97,2010-12-18,"Don't Cry For Me Argentina (Lea Michele Version)","Glee Cast","Don't Cry For Me Argentina (Lea Michele Version)Glee Cast"
29,2010-12-18,"Hey, Soul Sister","Glee Cast","Hey, Soul SisterGlee Cast"
54,2010-12-18,"Valerie","Glee Cast","ValerieGlee Cast"
59,2010-12-25,"Welcome Christmas","Glee Cast","Welcome ChristmasGlee Cast"
100,2011-01-01,"Oh Santa!","Mariah Carey","Oh Santa!Mariah Carey"
93,2011-01-01,"When A Woman Loves","R. Kelly","When A Woman LovesR. Kelly"
66,2011-01-08,"Hit It Again","3OH!3","Hit It Again3OH!3"
85,2011-01-08,"I Am The Champion","B.o.B","I Am The ChampionB.o.B"
99,2011-01-08,"Shake Up Christmas","Train","Shake Up ChristmasTrain"
79,2011-01-15,"Big Night","Big Time Rush","Big NightBig Time Rush"
100,2011-02-05,"For You, And Your Denial","Yellowcard","For You, And Your DenialYellowcard"
94,2011-02-05,"Stay The Night","James Blunt","Stay The NightJames Blunt"
89,2011-02-12,"Help Is On The Way","Rise Against","Help Is On The WayRise Against"
89,2011-02-19,"The Ballad Of Mona Lisa","Panic! At The Disco","The Ballad Of Mona LisaPanic! At The Disco"
82,2011-02-19,"The Creep","The Lonely Island Featuring Nicki Minaj","The CreepThe Lonely Island Featuring Nicki Minaj"
81,2011-02-19,"When You're Young","3 Doors Down","When You're Young3 Doors Down"
56,2011-02-26,"Fat Bottomed Girls","Glee Cast","Fat Bottomed GirlsGlee Cast"
75,2011-02-26,"I Won't Give Up","Jana Kramer","I Won't Give UpJana Kramer"
58,2011-02-26,"P.Y.T. (Pretty Young Thing)","Glee Cast","P.Y.T. (Pretty Young Thing)Glee Cast"
87,2011-02-26,"She's Not There","Glee Cast","She's Not ThereGlee Cast"
45,2011-02-26,"Silly Love Songs","Glee Cast","Silly Love SongsGlee Cast"
47,2011-02-26,"When I Get You Alone","Glee Cast","When I Get You AloneGlee Cast"
89,2011-02-26,"Words I Never Said","Lupe Fiasco Featuring Skylar Grey","Words I Never SaidLupe Fiasco Featuring Skylar Grey"
47,2011-03-05,"Baby","Glee Cast","BabyGlee Cast"
74,2011-03-05,"Born To Be Somebody","Justin Bieber","Born To Be SomebodyJustin Bieber"
49,2011-03-05,"Sing","Glee Cast","SingGlee Cast"
51,2011-03-05,"Take Me Or Leave Me","Glee Cast","Take Me Or Leave MeGlee Cast"
55,2011-03-12,"Blame It (On The Alcohol)","Glee Cast","Blame It (On The Alcohol)Glee Cast"
49,2011-03-12,"Don't You Want Me","Glee Cast","Don't You Want MeGlee Cast"
61,2011-03-12,"Tik Tok","Glee Cast","Tik TokGlee Cast"
99,2011-03-19,"21st Century Girl","Willow","21st Century GirlWillow"
77,2011-03-19,"Twisted","Gorilla Zoe Featuring Lil Jon","TwistedGorilla Zoe Featuring Lil Jon"
83,2011-03-19,"What Are Words","Chris Medina","What Are WordsChris Medina"
62,2011-03-26,"Animal","Glee Cast","AnimalGlee Cast"
70,2011-03-26,"Beautiful Lasers (2 Ways)","Lupe Fiasco Featuring MDMA","Beautiful Lasers (2 Ways)Lupe Fiasco Featuring MDMA"
57,2011-03-26,"Do You Wanna Touch Me (Oh Yeah)","Glee Cast Featuring Gwyneth Paltrow","Do You Wanna Touch Me (Oh Yeah)Glee Cast Featuring Gwyneth Paltrow"
83,2011-03-26,"Kiss","Glee Cast","KissGlee Cast"
66,2011-03-26,"The Race","Wiz Khalifa","The RaceWiz Khalifa"
37,2011-04-02,"Blackbird","Glee Cast","BlackbirdGlee Cast"
71,2011-04-02,"Candles","Glee Cast","CandlesGlee Cast"
100,2011-04-02,"Dancing Crazy","Miranda Cosgrove","Dancing CrazyMiranda Cosgrove"
53,2011-04-02,"Hell To The No","Glee Cast","Hell To The NoGlee Cast"
52,2011-04-02,"Misery","Glee Cast","MiseryGlee Cast"
36,2011-04-02,"Raise Your Glass","Glee Cast","Raise Your GlassGlee Cast"
97,2011-04-09,"F**k Him He's A DJ","Ke$ha","F**k Him He's A DJKe$ha"
69,2011-04-16,"The Story","Sara Ramirez","The StorySara Ramirez"
62,2011-04-30,"Red Nation","Game Featuring Lil Wayne","Red NationGame Featuring Lil Wayne"
87,2011-05-07,"All By Myself","Glee Cast","All By MyselfGlee Cast"
88,2011-05-07,"Breakthrough","Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko","BreakthroughBridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko"
89,2011-05-07,"Somebody","Bridgit Mendler","SomebodyBridgit Mendler"
66,2011-05-07,"Turning Tables","Glee Cast Featuring Gwyneth Paltrow","Turning TablesGlee Cast Featuring Gwyneth Paltrow"
80,2011-05-14,"As If We Never Said Goodbye","Glee Cast","As If We Never Said GoodbyeGlee Cast"
89,2011-05-14,"Barbra Streisand","Duck Sauce","Barbra StreisandDuck Sauce"
44,2011-05-14,"Born This Way","Glee Cast","Born This WayGlee Cast"
42,2011-05-14,"Somewhere Only We Know","Glee Cast","Somewhere Only We KnowGlee Cast"
65,2011-05-14,"Time After Time","Javier Colon","Time After TimeJavier Colon"
99,2011-05-21,"Closer To The Edge","Thirty Seconds To Mars","Closer To The EdgeThirty Seconds To Mars"
79,2011-05-21,"Don't Stop","Glee Cast","Don't StopGlee Cast"
92,2011-05-21,"Dreams","Glee Cast Featuring Kristin Chenoweth","DreamsGlee Cast Featuring Kristin Chenoweth"
45,2011-05-21,"Go Your Own Way","Glee Cast","Go Your Own WayGlee Cast"
81,2011-05-21,"Never Going Back Again","Glee Cast","Never Going Back AgainGlee Cast"
70,2011-05-21,"Not Ready To Die","Avenged Sevenfold","Not Ready To DieAvenged Sevenfold"
68,2011-05-21,"Songbird","Glee Cast","SongbirdGlee Cast"
74,2011-05-28,"Dancing Queen","Glee Cast","Dancing QueenGlee Cast"
82,2011-05-28,"I Am Woman","Jordin Sparks","I Am WomanJordin Sparks"
72,2011-05-28,"I'm Not Gonna Teach Your Boyfriend To Dance With You","Glee Cast","I'm Not Gonna Teach Your Boyfriend To Dance With YouGlee Cast"
65,2011-05-28,"Isn't She Lovely","Glee Cast","Isn't She LovelyGlee Cast"
49,2011-05-28,"Jar Of Hearts","Glee Cast","Jar Of HeartsGlee Cast"
82,2011-06-04,"Back To Black","Glee Cast","Back To BlackGlee Cast"
12,2011-06-04,"Hair","Lady Gaga","HairLady Gaga"
95,2011-06-04,"Look It Up","Ashton Shepherd","Look It UpAshton Shepherd"
94,2011-06-04,"My Man","Glee Cast","My ManGlee Cast"
59,2011-06-04,"Pure Imagination","Glee Cast","Pure ImaginationGlee Cast"
93,2011-06-11,"As Long As You're There","Glee Cast","As Long As You're ThereGlee Cast"
58,2011-06-11,"For Good","Glee Cast","For GoodGlee Cast"
81,2011-06-11,"I Love New York / New York, New York","Glee Cast","I Love New York / New York, New YorkGlee Cast"
33,2011-06-11,"Light Up The World","Glee Cast","Light Up The WorldGlee Cast"
40,2011-06-11,"Pretending","Glee Cast","PretendingGlee Cast"
74,2011-06-11,"Rise Above 1","Reeve Carney Featuring Bono & The Edge","Rise Above 1Reeve Carney Featuring Bono & The Edge"
97,2011-06-18,"Cat Daddy","Rej3ctz","Cat DaddyRej3ctz"
94,2011-06-25,"Bang Bang Bang","Selena Gomez & The Scene","Bang Bang BangSelena Gomez & The Scene"
73,2011-06-25,"Pause","Pitbull","PausePitbull"
100,2011-06-25,"Teenage Daughters","Martina McBride","Teenage DaughtersMartina McBride"
97,2011-06-25,"You","Romeo Santos","YouRomeo Santos"
64,2011-07-02,"Angel","Javier Colon","AngelJavier Colon"
90,2011-07-02,"Black Horse And The Cherry Tree","Casey Weston","Black Horse And The Cherry TreeCasey Weston"
76,2011-07-02,"Jolene","Vicci Martinez","JoleneVicci Martinez"
99,2011-07-02,"Price Tag","Xenia","Price TagXenia"
92,2011-07-02,"See No More","Joe Jonas","See No MoreJoe Jonas"
66,2011-07-02,"Today Is Your Day","Shania Twain","Today Is Your DayShania Twain"
68,2011-07-09,"Dog Days Are Over","Vicci Martinez","Dog Days Are OverVicci Martinez"
97,2011-07-09,"So In Love","Jill Scott Featuring Anthony Hamilton","So In LoveJill Scott Featuring Anthony Hamilton"
92,2011-07-09,"The Man Who Can't Be Moved","Xenia","The Man Who Can't Be MovedXenia"
78,2011-07-16,"Afraid To Sleep","Vicci Martinez","Afraid To SleepVicci Martinez"
74,2011-07-16,"Beautiful","Christina Aguilera & Beverly McClellan","BeautifulChristina Aguilera & Beverly McClellan"
98,2011-07-16,"High","Big Sean Featuring Wiz Khalifa","HighBig Sean Featuring Wiz Khalifa"
57,2011-07-16,"I Won't Back Down","Blake Shelton & Dia Frampton","I Won't Back DownBlake Shelton & Dia Frampton"
20,2011-07-16,"Inventing Shadows","Dia Frampton","Inventing ShadowsDia Frampton"
70,2011-07-16,"Little Bad Girl","David Guetta Featuring Taio Cruz & Ludacris","Little Bad GirlDavid Guetta Featuring Taio Cruz & Ludacris"
92,2011-07-16,"Major Minus","Coldplay","Major MinusColdplay"
45,2011-07-16,"Man In The Mirror","Adam Levine & Javier Colon","Man In The MirrorAdam Levine & Javier Colon"
90,2011-07-16,"Moving To Mars","Coldplay","Moving To MarsColdplay"
92,2011-07-23,"I Wouldn't Be A Man","Josh Turner","I Wouldn't Be A ManJosh Turner"
97,2011-07-23,"Taboo","Don Omar","TabooDon Omar"
77,2011-07-30,"What If","Colbie Caillat","What IfColbie Caillat"
87,2011-08-06,"Outlaw","50 Cent","Outlaw50 Cent"
87,2011-08-20,"Ships In The Night","Mat Kearney","Ships In The NightMat Kearney"
77,2011-08-20,"Under And Over It","Five Finger Death Punch","Under And Over ItFive Finger Death Punch"
78,2011-08-27,"We Don't Get Down Like Y'all","T.I. Featuring B.o.B.","We Don't Get Down Like Y'allT.I. Featuring B.o.B."
68,2011-08-27,"What You Want","Evanescence","What You WantEvanescence"
86,2011-09-03,"Don't Hold Your Breath","Nicole Scherzinger","Don't Hold Your BreathNicole Scherzinger"
100,2011-09-10,"Martians Vs Goblins","Game Featuring Lil Wayne & Tyler, The Creator","Martians Vs GoblinsGame Featuring Lil Wayne & Tyler, The Creator"
81,2011-09-10,"Night Of Your Life","David Guetta Featuring Jennifer Hudson","Night Of Your LifeDavid Guetta Featuring Jennifer Hudson"
91,2011-09-10,"What The Water Gave Me","Florence + The Machine","What The Water Gave MeFlorence + The Machine"
84,2011-09-17,"How To Hate","Lil Wayne Featuring T-Pain","How To HateLil Wayne Featuring T-Pain"
79,2011-09-17,"It's Good","Lil Wayne Featuring Drake & Jadakiss","It's GoodLil Wayne Featuring Drake & Jadakiss"
52,2011-09-17,"MegaMan","Lil Wayne","MegaManLil Wayne"
65,2011-09-17,"My Body","Young The Giant","My BodyYoung The Giant"
90,2011-09-17,"Nightmares Of The Bottom","Lil Wayne","Nightmares Of The BottomLil Wayne"
94,2011-09-17,"President Carter","Lil Wayne","President CarterLil Wayne"
95,2011-09-17,"So Special","Lil Wayne Featuring John Legend","So SpecialLil Wayne Featuring John Legend"
87,2011-09-24,"Disaster","JoJo","DisasterJoJo"
87,2011-10-01,"Body And Soul","Tony Bennett & Amy Winehouse","Body And SoulTony Bennett & Amy Winehouse"
69,2011-10-08,"Fix A Heart","Demi Lovato","Fix A HeartDemi Lovato"
65,2011-10-08,"It's Not Unusual","Glee Cast","It's Not UnusualGlee Cast"
98,2011-10-08,"Unbroken","Demi Lovato","UnbrokenDemi Lovato"
83,2011-10-08,"We Got The Beat","Glee Cast","We Got The BeatGlee Cast"
68,2011-10-08,"Y.U. Mad","Birdman Featuring Nicki Minaj & Lil Wayne","Y.U. MadBirdman Featuring Nicki Minaj & Lil Wayne"
67,2011-10-08,"You Can't Stop The Beat","Glee Cast","You Can't Stop The BeatGlee Cast"
88,2011-10-15,"After Midnight","Blink-182","After MidnightBlink-182"
83,2011-10-15,"Fight For You","Jason Derulo","Fight For YouJason Derulo"
75,2011-10-15,"Somewhere","Glee Cast","SomewhereGlee Cast"
53,2011-10-22,"Fix You","Glee Cast","Fix YouGlee Cast"
62,2011-10-22,"Hangover","Taio Cruz Featuring Flo Rida","HangoverTaio Cruz Featuring Flo Rida"
66,2011-10-22,"I'm Flexin'","T.I. Featuring Big K.R.I.T.","I'm Flexin'T.I. Featuring Big K.R.I.T."
91,2011-10-22,"Run The World (Girls)","Glee Cast","Run The World (Girls)Glee Cast"
99,2011-10-29,"Lost In Paradise","Evanescence","Lost In ParadiseEvanescence"
89,2011-10-29,"Still Got It","Tyga Featuring Drake","Still Got ItTyga Featuring Drake"
97,2011-11-05,"Focused","Wale Featuring Kid Cudi","FocusedWale Featuring Kid Cudi"
58,2011-11-12,"Christmas Song (Chestnuts Roasting On An Open Fire)","Justin Bieber Featuring Usher","Christmas Song (Chestnuts Roasting On An Open Fire)Justin Bieber Featuring Usher"
94,2011-11-12,"Lessons In Love","Kaskade Featuring Neon Trees","Lessons In LoveKaskade Featuring Neon Trees"
48,2011-11-12,"Sweat","Bow Wow Featuring Lil Wayne","SweatBow Wow Featuring Lil Wayne"
86,2011-11-19,"All I Want For Christmas Is You (SuperFestive!)","Justin Bieber Duet With Mariah Carey","All I Want For Christmas Is You (SuperFestive!)Justin Bieber Duet With Mariah Carey"
81,2011-11-19,"Ambition","Wale Featuring Meek Mill & Rick Ross","AmbitionWale Featuring Meek Mill & Rick Ross"
72,2011-11-19,"Last Friday Night","Glee Cast","Last Friday NightGlee Cast"
82,2011-11-26,"Come Home","Faith Hill","Come HomeFaith Hill"
53,2011-11-26,"Run","Matt Nathanson Featuring Sugarland","RunMatt Nathanson Featuring Sugarland"
55,2011-11-26,"Smile Back","Mac Miller","Smile BackMac Miller"
26,2011-11-26,"Superman","Taylor Swift","SupermanTaylor Swift"
68,2011-11-26,"Uptown Girl","Glee Cast","Uptown GirlGlee Cast"
67,2011-12-03,"Hate Sleeping Alone","Drake","Hate Sleeping AloneDrake"
86,2011-12-03,"Hit Me With Your Best Shot / One Way Or Another","Glee Cast","Hit Me With Your Best Shot / One Way Or AnotherGlee Cast"
80,2011-12-03,"I Can't Go For That / You Make My Dreams","Glee Cast","I Can't Go For That / You Make My DreamsGlee Cast"
100,2011-12-03,"Shot For Me","Drake","Shot For MeDrake"
89,2011-12-03,"We'll Be Fine","Drake Featuring Birdman","We'll Be FineDrake Featuring Birdman"
69,2011-12-03,"You And I / You And I","Glee Cast","You And I / You And IGlee Cast"
100,2011-12-10,"El Verdadero Amor Perdona","Mana Featuring Prince Royce","El Verdadero Amor PerdonaMana Featuring Prince Royce"
89,2011-12-10,"Lullaby","Nickelback","LullabyNickelback"
89,2011-12-17,"Constant Craving","Glee Cast","Constant CravingGlee Cast"
59,2011-12-17,"Girls Just Want To Have Fun","Glee Cast","Girls Just Want To Have FunGlee Cast"
66,2011-12-17,"I Kissed A Girl","Glee Cast","I Kissed A GirlGlee Cast"
86,2011-12-17,"I'm The Only One","Glee Cast","I'm The Only OneGlee Cast"
57,2011-12-17,"Perfect","Glee Cast","PerfectGlee Cast"
88,2011-12-24,"ABC","Glee Cast","ABCGlee Cast"
93,2011-12-24,"I'll Be Home For Christmas","Kelly Clarkson","I'll Be Home For ChristmasKelly Clarkson"
76,2011-12-24,"Man In The Mirror","Glee Cast","Man In The MirrorGlee Cast"
92,2011-12-24,"Red Solo Cup","Glee Cast","Red Solo CupGlee Cast"
51,2011-12-24,"Survivor / I Will Survive","Glee Cast","Survivor / I Will SurviveGlee Cast"
99,2011-12-31,"All I Want For Christmas Is You","Michael Buble","All I Want For Christmas Is YouMichael Buble"
92,2011-12-31,"Do They Know It's Christmas?","Glee Cast","Do They Know It's Christmas?Glee Cast"
76,2012-01-07,"Better Than I Know Myself","Adam Lambert","Better Than I Know MyselfAdam Lambert"
88,2012-01-07,"Knock Knock","Mac Miller","Knock KnockMac Miller"
84,2012-01-21,"Set You Free","3OH!3","Set You Free3OH!3"
78,2012-01-28,"Called Out In The Dark","Snow Patrol","Called Out In The DarkSnow Patrol"
67,2012-01-28,"Tattoo","Van Halen","TattooVan Halen"
91,2012-01-28,"Video Games","Lana Del Rey","Video GamesLana Del Rey"
98,2012-01-28,"Wild Boy","MGK Featuring Waka Flocka Flame","Wild BoyMGK Featuring Waka Flocka Flame"
62,2012-02-04,"Moves Like Jagger / Jumpin' Jack Flash","Glee Cast","Moves Like Jagger / Jumpin' Jack FlashGlee Cast"
88,2012-02-04,"Summer Nights","Glee Cast","Summer NightsGlee Cast"
70,2012-02-04,"The First Time Ever I Saw Your Face","Glee Cast","The First Time Ever I Saw Your FaceGlee Cast"
56,2012-02-04,"We Found Love","Glee Cast","We Found LoveGlee Cast"
28,2012-02-04,"Without You","Glee Cast","Without YouGlee Cast"
80,2012-02-18,"Bad","Glee Cast","BadGlee Cast"
64,2012-02-18,"Black Or White","Glee Cast","Black Or WhiteGlee Cast"
56,2012-02-18,"Human Nature","Glee Cast","Human NatureGlee Cast"
78,2012-02-18,"Wanna Be Startin' Somethin'","Glee Cast","Wanna Be Startin' Somethin'Glee Cast"
99,2012-02-25,"La Isla Bonita","Glee Cast Featuring Ricky Martin","La Isla BonitaGlee Cast Featuring Ricky Martin"
80,2012-02-25,"Say Aah","Lindsey Pavao","Say AahLindsey Pavao"
81,2012-02-25,"Sexy And I Know It","Glee Cast Featuring Ricky Martin","Sexy And I Know ItGlee Cast Featuring Ricky Martin"
100,2012-02-25,"Snitches Ain't...","YG Featuring Tyga, Snoop Dogg & Nipsey Hussle","Snitches Ain't...YG Featuring Tyga, Snoop Dogg & Nipsey Hussle"
87,2012-03-03,"I Will Always Love You","Glee Cast","I Will Always Love YouGlee Cast"
100,2012-03-03,"Raise Your Weapon","deadmau5 Featuring Greta Svabo Bech","Raise Your Weapondeadmau5 Featuring Greta Svabo Bech"
50,2012-03-03,"Runaway Baby","Bruno Mars","Runaway BabyBruno Mars"
92,2012-03-03,"Stereo Hearts","Glee Cast","Stereo HeartsGlee Cast"
65,2012-03-10,"Cough Syrup","Glee Cast","Cough SyrupGlee Cast"
56,2012-03-10,"Fly / I Believe I Can Fly","Glee Cast","Fly / I Believe I Can FlyGlee Cast"
90,2012-03-10,"Glad You Came","Glee Cast","Glad You CameGlee Cast"
73,2012-03-10,"Here's To Us","Glee Cast","Here's To UsGlee Cast"
74,2012-03-10,"Mutha***** Up","Tyga Featuring Nicki Minaj","Mutha***** UpTyga Featuring Nicki Minaj"
66,2012-03-10,"What Doesn't Kill You (Stronger)","Glee Cast","What Doesn't Kill You (Stronger)Glee Cast"
21,2012-03-17,"Live My Life","Far*East Movement Featuring Justin Bieber","Live My LifeFar*East Movement Featuring Justin Bieber"
70,2012-03-17,"Roman Reloaded","Nicki Minaj Featuring Lil Wayne","Roman ReloadedNicki Minaj Featuring Lil Wayne"
100,2012-03-17,"Thank You","Estelle","Thank YouEstelle"
83,2012-04-07,"Come Away To The Water","Maroon 5 Featuring Rozzi Crane","Come Away To The WaterMaroon 5 Featuring Rozzi Crane"
64,2012-04-14,"I Dont Really Care","Waka Flocka Flame Featuring Trey Songz","I Dont Really CareWaka Flocka Flame Featuring Trey Songz"
99,2012-04-14,"Naked","Dev & Enrique Iglesias","NakedDev & Enrique Iglesias"
78,2012-04-14,"She Doesn't Mind","Sean Paul","She Doesn't MindSean Paul"
81,2012-04-21,"Love This Life","T.I.","Love This LifeT.I."
98,2012-04-28,"Hungry Like The Wolf / Rio","Glee Cast","Hungry Like The Wolf / RioGlee Cast"
86,2012-04-28,"Roxanne","Juliet Simms","RoxanneJuliet Simms"
96,2012-05-05,"Eyes Wide Open","Gotye","Eyes Wide OpenGotye"
89,2012-05-05,"Sweet Love","Chris Brown","Sweet LoveChris Brown"
86,2012-05-05,"Way Too Cold","Kanye West Featuring DJ Khaled","Way Too ColdKanye West Featuring DJ Khaled"
