"chart_position","chart_date","song","performer","song_id"
72,2019-04-06,"Price On My Head","NAV Featuring The Weeknd","Price On My HeadNAV Featuring The Weeknd"
79,2019-04-13,"8","Billie Eilish","8Billie Eilish"
53,2019-04-13,"I Love You","Billie Eilish","I Love YouBillie Eilish"
62,2019-04-13,"Ilomilo","Billie Eilish","IlomiloBillie Eilish"
63,2019-04-13,"Listen Before I Go","Billie Eilish","Listen Before I GoBillie Eilish"
87,2019-04-20,"Bad Luck","Khalid","Bad LuckKhalid"
84,2019-04-20,"Don't Pretend","Khalid x SAFE","Don't PretendKhalid x SAFE"
95,2019-04-20,"Inmortal","Aventura","InmortalAventura"
58,2019-04-20,"Outta My Head","Khalid With John Mayer","Outta My HeadKhalid With John Mayer"
93,2019-04-20,"Right Back","Khalid","Right BackKhalid"
100,2019-04-20,"Victory Lap","Nipsey Hussle Featuring Stacy Barthe","Victory LapNipsey Hussle Featuring Stacy Barthe"
66,2019-04-27,"Blue On Black","Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May","Blue On BlackFive Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
95,2019-04-27,"Make It Right","BTS","Make It RightBTS"
90,2019-05-04,"Slide","French Montana Featuring Blueface & Lil Tjay","SlideFrench Montana Featuring Blueface & Lil Tjay"
85,2019-05-11,"CHopstix","ScHoolboy Q + Travis Scott","CHopstixScHoolboy Q + Travis Scott"
67,2019-05-11,"Floating","ScHoolboy Q Featuring 21 Savage","FloatingScHoolboy Q Featuring 21 Savage"
90,2019-05-11,"Light It Up","Marshmello, Tyga & Chris Brown","Light It UpMarshmello, Tyga & Chris Brown"
96,2019-05-11,"Love Me Anyway","P!nk Featuring Chris Stapleton","Love Me AnywayP!nk Featuring Chris Stapleton"
98,2019-05-11,"Stop Snitching","YG","Stop SnitchingYG"
91,2019-05-18,"Middle Child","PnB Rock & XXXTENTACION","Middle ChildPnB Rock & XXXTENTACION"
74,2019-06-01,"A Boy Is A Gun","Tyler, The Creator","A Boy Is A GunTyler, The Creator"
52,2019-06-01,"Celebrate","DJ Khaled Featuring Travis Scott & Post Malone","CelebrateDJ Khaled Featuring Travis Scott & Post Malone"
51,2019-06-01,"I Think","Tyler, The Creator","I ThinkTyler, The Creator"
67,2019-06-01,"Igor's Theme","Tyler, The Creator","Igor's ThemeTyler, The Creator"
57,2019-06-01,"Jealous","DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean","JealousDJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
70,2019-06-01,"New Magic Wand","Tyler, The Creator","New Magic WandTyler, The Creator"
88,2019-06-01,"Puppet","Tyler, The Creator","PuppetTyler, The Creator"
65,2019-06-01,"Running Out Of Time","Tyler, The Creator","Running Out Of TimeTyler, The Creator"
91,2019-06-01,"Weather The Storm","DJ Khaled Featuring Meek Mill & Lil Baby","Weather The StormDJ Khaled Featuring Meek Mill & Lil Baby"
85,2019-06-01,"What's Good","Tyler, The Creator","What's GoodTyler, The Creator"
96,2019-06-08,"HP","Maluma","HPMaluma"
91,2019-06-15,"Shut Up About Politics","John Rich Featuring The Five","Shut Up About PoliticsJohn Rich Featuring The Five"
94,2019-06-15,"Under Enemy Arms","Trippie Redd","Under Enemy ArmsTrippie Redd"
92,2019-06-22,"Amor Genuino","Ozuna","Amor GenuinoOzuna"
99,2019-06-22,"Government Official","Future","Government OfficialFuture"
83,2019-06-22,"Heaven","Avicii","HeavenAvicii"
100,2019-06-22,"Otro Trago","Sech Featuring Darell","Otro TragoSech Featuring Darell"
87,2019-06-22,"Please Tell Me","Future","Please Tell MeFuture"
98,2019-06-22,"XanaX Damage","Future","XanaX DamageFuture"
92,2019-06-29,"Rescue Me","Marshmello Featuring A Day To Remember","Rescue MeMarshmello Featuring A Day To Remember"
80,2019-06-29,"Sanctuary","Joji","SanctuaryJoji"
100,2019-07-06,"Summer Days","Martin Garrix Featuring Macklemore & Patrick Stump","Summer DaysMartin Garrix Featuring Macklemore & Patrick Stump"
